feedback_id,created_at,state,lga,channel,facility_or_service,raw_text,rating,response_time_days,resolved,assigned_dept,cleaned_text,word_count,char_count,has_url,has_number,contains_expletive,dominant_topic,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob
FB000001,2025-12-19,Kaduna,Kaduna South,SMS,Clinic,"Please, the clinic building is in poor condition. leaking roof and broken windows.",,25.0,True,Health,"Please, the clinic building is in poor condition. leaking roof and broken windows.",13,82,False,False,False,0,0.7316497664040285,0.06667000268846915,0.0683388232211053,0.06667174041523542,0.06666966727116176
FB000002,2024-12-18,Kaduna,Kaduna North,In-person,Secondary School,Water supply at Secondary School is not functional. Toilets are dirty. Other wards have same problem.,4.0,6.0,True,Education,Water supply at Secondary School is not functional. Toilets are dirty. Other wards have same problem.,16,101,False,False,False,0,0.8651505721818127,0.0334905732668609,0.03418975323977366,0.033498280631376255,0.03367082068017638
FB000003,2024-08-21,Oyo,Oyo West,SMS,Ward Office,The Ward Office opens very late. Many people wait hours before services start.,,,False,LocalGov,The Ward Office opens very late. Many people wait hours before services start.,13,78,False,False,False,2,0.02864884652125152,0.028743973446916458,0.8853530417734117,0.028573141776250324,0.028680996482170006
FB000004,2025-10-12,Gombe,Gombe Central,Hotline,Town Hall,"Oga, staff demanding money at town hall before providing service. this is wrong.",,,False,LocalGov,"Oga, staff demanding money at town hall before providing service. this is wrong.",13,80,False,False,False,3,0.04063021086212939,0.04027528742139052,0.04000153189068556,0.8382517910989251,0.04084117872686944
FB000005,2024-02-02,Ebonyi,Ebonyi East,Hotline,Fire Service,No electricity at Fire Service. Generator not working for weeks.,,,False,Other,No electricity at Fire Service. Generator not working for weeks.,10,64,False,False,False,2,0.10000454806044644,0.10059480560352381,0.5993705691661846,0.1000127478973464,0.10001732927249869
FB000006,2024-09-09,Bauchi,Bauchi North,Social Media,Motor Park,What documents are needed for Motor Park? plss advise.,1.0,,False,Other,What documents are needed for Motor Park? plss advise.,9,54,False,False,False,2,0.03339373835031418,0.033334741572070205,0.8659599368888917,0.03397672516493864,0.03333485802378535
FB000007,2024-06-12,Ondo,Ondo West,Hotline,Adult Education Center,How can I access services at Adult Education Center? Need guidance. This has been happening for months.,,,False,Education,How can I access services at Adult Education Center? Need guidance. This has been happening for months.,17,103,False,False,False,1,0.025003231978688714,0.8983170477369277,0.02588004332454007,0.025545762298077184,0.02525391466176631
FB000008,2024-10-27,Bauchi,Bauchi East,Hotline,Town Hall,No medicine available at Town Hall. Always telling us to buy from pharmacy. This is affecting many people in the community.,1.0,,False,LocalGov,No medicine available at Town Hall. Always telling us to buy from pharmacy. This is affecting many people in the community.,21,123,False,False,False,0,0.9101880352049464,0.02234187402645315,0.022393974503193855,0.022512770782766853,0.02256334548263974
FB000009,2025-06-27,Jigawa,Jigawa West,In-person,Waste Management,What documents are needed for Waste Management? Please advise. Other wards have same problem.,2.0,,False,Sanitation,What documents are needed for Waste Management? Please advise. Other wards have same problem.,14,93,False,False,False,2,0.03351399896113723,0.03333463829496599,0.8658137771910035,0.033986210601926005,0.033351374950967204
FB000010,2025-06-29,Rivers,Port Harcourt,SMS,Local Council,What documents are needed for Local Council? plz advise.,,7.0,True,LocalGov,What documents are needed for Local Council? plz advise.,9,56,False,False,False,3,0.03333490784291807,0.033404224624152275,0.03390977273611801,0.8660086065005288,0.03334248829628284
FB000011,2025-11-18,Plateau,Plateau West,SMS,Waste Management,I want to know the operating hours of Waste Management.,1.0,,False,Sanitation,I want to know the operating hours of Waste Management.,10,55,False,False,False,2,0.06666816314223034,0.06666827240529226,0.7333252369402541,0.06666990267322372,0.06666842483899955
FB000012,2024-12-04,Taraba,Taraba East,SMS,Adult Education Center,"Abeg, the adult education center in taraba east is always closed when we arrive. no staff present.",,6.0,True,Education,"Abeg, the adult education center in taraba east is always closed when we arrive. no staff present.",17,98,False,False,False,4,0.02224217276418908,0.022540164039940688,0.02293976267463952,0.022269386282981474,0.9100085142382492
FB000013,2024-12-28,Rivers,Obio-Akpor,Web Form,Motor Park,Too many charges at Motor Park. Corruption everywhere.,3.0,7.0,True,Other,Too many charges at Motor Park. Corruption everywhere.,8,54,False,False,False,2,0.05046626208474946,0.0500046168922029,0.7995251465759171,0.05000251890772969,0.05000145553940101
FB000014,2024-09-12,Anambra,Anambra Municipal,In-person,Fire Service,"Madam, no proper access to fire service. the road is bad and the gate is locked most times.",1.0,,False,Other,"Madam, no proper access to fire service. the road is bad and the gate is locked most times.",18,91,False,False,False,1,0.022223358312338144,0.9105476488334721,0.022728530397394323,0.022224909120074392,0.022275553336721002
FB000015,2024-06-17,Zamfara,Zamfara Central,SMS,Market,Thank you to the staff at Market. They provided excellent service. Please help us urgently.,4.0,,False,Other,Thank you to the staff at Market. They provided excellent service. Please help us urgently.,15,91,False,False,False,4,0.02337509717956523,0.022227240039589095,0.022343730223404523,0.022568773950871986,0.9094851586065691
FB000016,2025-06-27,Jigawa,Jigawa East,Hotline,Market,"Madam, teh market needs renovation. equipment is old and broken. Other wards have same problem.",,21.0,True,Other,"Madam, teh market needs renovation. equipment is old and broken. Other wards have same problem.",15,95,False,False,False,0,0.9107400563865742,0.022223431311490842,0.022564509434620905,0.022223468527019428,0.022248534340294474
FB000017,2024-02-10,Bayelsa,Bayelsa North,SMS,Maternity Ward,No electricity at Maternity Ward. Generator not working for weeks.,,,False,Health,No electricity at Maternity Ward. Generator not working for weeks.,10,66,False,False,False,4,0.06667041298683637,0.06780125134666676,0.06823201075479782,0.06667589284574191,0.7306204320659573
FB000018,2025-09-28,FCT Abuja,Kwali,Hotline,Water Supply,"Oga, staff members are not helpful at water supply. they ignore our questions.",1.0,,False,Water,"Oga, staff members are not helpful at water supply. they ignore our questions.",13,78,False,False,False,4,0.026337613353071547,0.02555503944147417,0.025001721963723,0.02503791162949821,0.898067713612233
FB000019,2025-10-31,Bauchi,Bauchi West,SMS,Water Supply,The Water Supply opens very late. Many people wait hours before services start. This is affecting many people in the community.,4.0,,False,Water,The Water Supply opens very late. Many people wait hours before services start. This is affecting many people in the community.,21,127,False,False,False,0,0.5018413087265098,0.02023458529878408,0.4378764781803862,0.020002152848834803,0.020045474945485035
FB000020,2024-10-15,Zamfara,Zamfara South,Social Media,Clinic,How can I access services at Clinic? Need guidance.,1.0,,False,Health,How can I access services at Clinic? Need guidance.,9,51,False,False,False,1,0.06666971254327277,0.7319448852345113,0.06804351451226304,0.06667192876032511,0.06666995894962781
FB000021,2024-12-07,Enugu,Enugu Municipal,Web Form,Water Supply,"The Water Supply has no supplies. No syringes, no bandages, nothing. Please help us urgently.",1.0,,False,Water,"The Water Supply has no supplies. No syringes, no bandages, nothing. Please help us urgently.",15,93,False,False,False,0,0.8828029748798547,0.03105213522991046,0.028657047735481007,0.02860935121584181,0.028878490938912045
FB000022,2024-05-31,Jigawa,Jigawa North,In-person,Market,the Market building is in poor condition. Leaking roof and broken windows.,2.0,,False,Other,the Market building is in poor condition. Leaking roof and broken windows.,12,74,False,False,False,0,0.799163201455504,0.05000572434715223,0.05075020190770867,0.0500033983483621,0.0500774739412731
FB000023,2024-08-30,Lagos,Ikeja,Social Media,Education Office,The Education Office building is in poor condition. Leaking roof and broken windows.,3.0,,False,Education,The Education Office building is in poor condition. Leaking roof and broken windows.,13,84,False,False,False,2,0.2801967188321795,0.040131381565279435,0.599450974478904,0.04000381191224589,0.040217113211390994
FB000024,2024-08-15,Edo,Edo East,SMS,Water Treatment Plant,I appreciate the quick service at Water Treatment Plant. Keep up the good work. This has been happening for months.,,20.0,True,Water,I appreciate the quick service at Water Treatment Plant. Keep up the good work. This has been happening for months.,20,115,False,False,False,0,0.5336197361435979,0.033807542786364546,0.0333357940336165,0.3653090098071482,0.033927917229272866
FB000025,2025-07-03,Kwara,Kwara South,Social Media,Adult Education Center,The workers at Adult Education Center treat us badly. Very poor customer service. Other wards have same problem.,4.0,11.0,True,Education,The workers at Adult Education Center treat us badly. Very poor customer service. Other wards have same problem.,18,112,False,False,False,2,0.022508233406096766,0.0223853574875479,0.9104860950810963,0.022257514700094332,0.022362799325164637
FB000026,2024-09-17,Jigawa,Jigawa North,Web Form,Water Supply,No proper access to Water Supply. The road is bad and the gate is locked most times.,5.0,4.0,True,Water,No proper access to Water Supply. The road is bad and the gate is locked most times.,17,84,False,False,False,1,0.020442945497220578,0.9194158110783023,0.020012085832510344,0.02000150895184183,0.020127648640124993
FB000027,2024-11-03,Taraba,Taraba West,In-person,Road Maintenance,Rude behavior from staff at the Road Maintenance. We deserve better treatment.,1.0,,False,Other,Rude behavior from staff at the Road Maintenance. We deserve better treatment.,12,78,False,False,False,4,0.0504049260778945,0.05074167443141723,0.050133887874293924,0.05017803009545654,0.7985414815209378
FB000028,2024-11-07,Kebbi,Kebbi East,In-person,Market,No proper access to Market. The road is bad and the gate is locked most times. This is affecting many people in the community.,4.0,1.0,True,Other,No proper access to Market. The road is bad and the gate is locked most times. This is affecting many people in the community.,24,126,False,False,False,1,0.3433983266441988,0.6063192505451355,0.016883844011988877,0.01666874474215946,0.01672983405651739
FB000029,2025-11-10,Kebbi,Kebbi East,Hotline,Road Maintenance,Rude behavior from staff at the Road Maintenance. We deserve better treatment.,,,False,Other,Rude behavior from staff at the Road Maintenance. We deserve better treatment.,12,78,False,False,False,4,0.0504049260778945,0.05074167443141723,0.050133887874293924,0.05017803009545654,0.7985414815209378
FB000030,2025-12-14,Imo,Imo Municipal,Hotline,Education Office,teh Education Office in Imo Municipal is always closed when we arrive. No staff present.,2.0,,False,Education,teh Education Office in Imo Municipal is always closed when we arrive. No staff present.,15,88,False,False,False,4,0.025025282094285072,0.025078073794307612,0.02628690271740393,0.025060498040343583,0.8985492433536598
FB000031,2024-05-16,Delta,Delta Municipal,In-person,Clinic,the workers at Clinic were very helpful and professional. Well done! We have complained before but nothing changed.,1.0,,False,Health,the workers at Clinic were very helpful and professional. Well done! We have complained before but nothing changed.,18,115,False,False,False,1,0.033420216053058595,0.8656178165243202,0.03363645715828824,0.03333646395020036,0.033989046314132555
FB000032,2024-09-22,Zamfara,Zamfara West,Hotline,Town Hall,Hidden fees at Town Hall. They ask for money for everything.,2.0,,False,LocalGov,Hidden fees at Town Hall. They ask for money for everything.,11,60,False,False,False,3,0.04065574225196425,0.04029727402719956,0.04002659825203035,0.8390184291658557,0.0400019563029502
FB000033,2024-06-03,Kaduna,Chikun,Web Form,Adult Education Center,Staff at Adult Education Center are very rude. They shout at patients and show no respect. Other wards have same problem.,4.0,3.0,True,Education,Staff at Adult Education Center are very rude. They shout at patients and show no respect. Other wards have same problem.,21,121,False,False,False,2,0.028733798253813957,0.028809406391259618,0.7061371068343645,0.028854163661184876,0.20746552485937717
FB000034,2025-08-12,Enugu,Enugu Central,Hotline,Water Treatment Plant,Hidden fees at Water Treatment Plant. They ask for money for everything.,1.0,,False,Water,Hidden fees at Water Treatment Plant. They ask for money for everything.,12,72,False,False,False,0,0.532068039513504,0.033434808660254695,0.03338051741785217,0.3672060767621969,0.03391055764619219
FB000035,2024-06-18,Kwara,Kwara South,In-person,LGA Secretariat,click here for free money!!!,4.0,7.0,True,LocalGov,click here for free money!,5,26,False,False,False,3,0.10000200974215127,0.10000145797602703,0.10000180773898733,0.5999906303506901,0.10000409419214426
FB000036,2025-01-23,Yobe,Yobe Central,Social Media,Motor Park,"Abeg, they are charging illegal fees at motor park. this service shd be free. Other wards have same problem.",4.0,13.0,True,Other,"Abeg, they are charging illegal fees at motor park. this service shd be free. Other wards have same problem.",19,108,False,False,False,2,0.03357844127844064,0.03348220931855979,0.8632320908614763,0.03635515013039966,0.03335210841112357
FB000037,2024-02-01,Ogun,Ogun South,Social Media,Sanitation Department,The Sanitation Department in Ogun South is always closed when we arrive. No staff present.,2.0,,False,Sanitation,The Sanitation Department in Ogun South is always closed when we arrive. No staff present.,15,90,False,False,False,4,0.033379407555551646,0.033333992867132164,0.03333416655718952,0.03344733206977405,0.8665051009503527
FB000038,2025-09-13,Adamawa,Adamawa West,SMS,Public School,No medicine available at Public School. Always telling us to buy from pharmacy. Other wards have same problem.,,,False,Education,No medicine available at Public School. Always telling us to buy from pharmacy. Other wards have same problem.,18,110,False,False,False,0,0.8837319328439512,0.028654436325569032,0.02924467575399654,0.02893450521487568,0.029434449861607467
FB000039,2024-05-03,Ebonyi,Ebonyi South,SMS,Primary Health Center,I want to know the operating hours of Primary Health Center. We have complained before but nothing changed.,5.0,24.0,True,Health,I want to know the operating hours of Primary Health Center. We have complained before but nothing changed.,18,107,False,False,False,1,0.028592023647851225,0.5235809043347904,0.39060606028166045,0.028573969253528935,0.028647042482168865
FB000040,2024-06-05,Akwa Ibom,Akwa Ibom South,Web Form,Road Maintenance,"Sir, we wait for many hours at road maintenance. process is too slow. Other wards have same problem.",3.0,,False,Other,"Sir, we wait for many hours at road maintenance. process is too slow. Other wards have same problem.",18,100,False,False,False,2,0.028779539787571494,0.029348896275867366,0.884226139159166,0.02857410329081343,0.02907132148658166
FB000041,2025-04-06,Kaduna,Chikun,Social Media,Market,I appreciate the quick service at Market. Keep up the good work.,1.0,,False,Other,I appreciate the quick service at Market. Keep up the good work.,12,64,False,False,False,0,0.5993899860446104,0.10003001137740035,0.1000045066419563,0.10000713278968722,0.10056836314634582
FB000042,2024-01-11,Nasarawa,Nasarawa South,SMS,Water Treatment Plant,The workers at Water Treatment Plant treat us badly. Very poor customer service. This is affecting many people in the community.,,,False,Water,The workers at Water Treatment Plant treat us badly. Very poor customer service. This is affecting many people in the community.,21,128,False,False,False,0,0.9191625371129427,0.02016989600725669,0.020526316496907646,0.020017797269091177,0.020123453113801926
FB000043,2024-09-06,Imo,Imo Municipal,Hotline,Market,The Market needs renovation. Equipment is old and broken.,,27.0,True,Other,The Market needs renovation. Equipment is old and broken.,9,57,False,False,False,0,0.8856887443657678,0.028573109395389953,0.028572203092730106,0.028572691970354714,0.028593251175757194
FB000044,2024-05-02,Plateau,Plateau West,Web Form,LGA Secretariat,What documents are needed for LGA Secretariat? Please advise.,5.0,6.0,True,LocalGov,What documents are needed for LGA Secretariat? Please advise.,9,61,False,False,False,3,0.050002316735203195,0.05000248266726589,0.05160186143811977,0.7983905589733308,0.05000278018608039
FB000045,2024-01-15,Edo,Edo North,SMS,Sanitation Department,Staff members are not helpful at Sanitation Department. They ignore our questions.,,14.0,True,Sanitation,Staff members are not helpful at Sanitation Department. They ignore our questions.,12,82,False,False,False,4,0.0333341330436635,0.03338868268704324,0.033334321259906284,0.033401588372086115,0.8665412746373008
FB000046,2024-02-22,Akwa Ibom,Akwa Ibom Central,Web Form,Public School,"Oga, hidden fees at public school. they ask for money for everything.",1.0,,False,Education,"Oga, hidden fees at public school. they ask for money for everything.",12,69,False,False,False,3,0.050559665406838476,0.050037675426670196,0.050045848054236064,0.7986578579529745,0.05069895315928076
FB000047,2025-09-25,Borno,Borno Central,Hotline,Maternity Ward,They are charging illegal fees at Maternity Ward. This service should be free. We have complained before but nothing changed.,5.0,30.0,True,Health,They are charging illegal fees at Maternity Ward. This service should be free. We have complained before but nothing changed.,20,125,False,False,False,1,0.028584840204375645,0.8820228889883265,0.029109963276588473,0.031182530407789778,0.02909977712291948
FB000048,2024-03-24,Osun,Osun East,Hotline,Motor Park,What documents are needed for Motor Park? Please advise. We have complained before but nothing changed.,,,False,Other,What documents are needed for Motor Park? Please advise. We have complained before but nothing changed.,16,103,False,False,False,2,0.022280721602084292,0.3520895057242673,0.5807576596104487,0.022648343648766934,0.022223769414432756
FB000049,2025-10-02,Bauchi,Bauchi North,SMS,Town Hall,d Town Hall needs renovation. Equipment is old and broken. Please help us urgently.,,13.0,True,LocalGov,d Town Hall needs renovation. Equipment is old and broken. Please help us urgently.,14,83,False,False,False,0,0.926999032965432,0.018226500002315762,0.01821013708801113,0.01828949845178517,0.01827483149245581
